id,sex,gen
DO345,F,21
DO105,M,16
DO238,F,19
DO475,F,22
DO523,M,22
DO089,M,16
DO339,F,21
DO276,M,19
DO050,F,16
DO325,F,21
DO076,M,16
DO257,F,19
DO193,M,18
DO275,M,19
DO097,M,16
DO130,F,18
DO233,F,19
DO059,F,16
DO465,F,22
DO281,M,19
DO484,F,22
DO029,F,16
DO075,M,16
DO184,M,18
DO161,F,18
DO509,F,22
DO264,F,19
DO515,M,22
DO122,F,18
DO159,F,18
DO182,M,18
DO466,F,22
DO472,F,22
DO267,F,19
DO545,M,22
DO379,M,21
DO195,M,18
DO410,M,21
DO376,M,21
DO524,M,22
DO534,M,22
DO382,M,21
DO313,M,19
DO260,F,19
DO393,M,21
DO031,F,16
DO330,F,21
DO322,F,21
DO137,F,18
DO234,F,19
DO083,M,16
DO502,F,22
DO311,M,19
DO136,F,18
DO511,M,22
DO224,F,19
DO093,M,16
DO510,F,22
DO474,F,22
DO508,F,22
DO336,F,21
DO078,M,16
DO027,F,16
DO499,F,22
DO270,F,19
DO297,M,19
DO541,M,22
DO181,M,18
DO491,F,22
DO555,M,22
DO230,F,19
DO151,F,18
DO038,F,16
DO150,F,18
DO175,M,18
DO549,M,22
DO277,M,19
DO505,F,22
DO522,M,22
DO111,M,16
DO118,M,16
DO374,M,21
DO321,F,21
DO057,F,16
DO235,F,19
DO556,M,22
DO133,F,18
DO149,F,18
DO250,F,19
DO204,M,18
DO320,M,19
DO519,M,22
DO544,M,22
DO110,M,16
DO380,M,21
DO170,F,18
DO525,M,22
DO109,M,16
DO225,F,19
DO261,F,19
