chrom	start	end	binNum	tumor	tumor_expect	normal	normal_expect	log2.copyRatio	log2.TumorExpectRatio
chr1	10001	248946345	2067594	7	47538.5	1	69414.6	9.01715769128196	-0.967290004631433
chr2	10004	242183402	2223051	4	56044.5	3	84854.8	6.6771269191612	-2.01212030219328
chr3	10004	198140162	1858091	0	48225.6	1	73598.6	-27.5556109205163	-21.4571180936736
chr4	10012	190204481	1756921	1	50021.1	0	80105	23.2727018139112	-3.84807909161843
chr5	11519	181449255	1652778	2	43405.4	0	66878.7	24.4773640603437	-2.64342093065286
chr6	89823	170740369	1540993	1	40403.1	0	62042.3	23.5807726071043	-3.54000968600321
chr7	16356	159335884	1411659	2	35042.3	0	52953.7	24.7861411284018	-2.33464446586372
chr8	71162	145078446	1321686	2	33687.5	0	51057.8	24.8430252298164	-2.27776046217711
chr9	10004	138313849	1036240	0	24274.7	0	35608.8	-27.5556109205163	-21.4571180936736
chr10	46102351	133787340	752959	0	16957.1533	13353	24499.9642	-27.5556109205163	-21.4571180936736
chr11	115523	135076548	1219291	0	28503.5	2	41844.3	-27.5556109205163	-21.4571180936736
chr12	41109	133264924	1233205	0	29917.2	0	44549.1	-27.5556109205163	-21.4571180936736
chr13	16000066	114354111	909921	1	25444.2	0	40739.5	24.2479017659332	-2.87288268528027
chr14	16022641	106883644	808454	0	19723.3	0	29621.2	-27.5556109205163	-21.4571180936736
chr15	17000000	101981086	694957	0	15497.9	0	21996.7	-27.5556109205163	-21.4571180936736
chr16	10004	90226217	685948	0	12952.1	3	17271.5	-27.5556109205163	-21.4571180936736
chr17	169003	83247367	673771	0	12089.8	1	15732.2	-27.5556109205163	-21.4571180936736
chr18	10116	80263171	703211	0	18129.3	0	27648.2	-27.5556109205163	-21.4571180936736
chr19	90758	58607520	503556	2	7262.05	3	8476.66	5.30182617845025	-0.0639977688997053
chr20	60065	64334093	578098	3	11252.8	1	15133.2	7.67606340409507	-0.110870510014125
chr21	5030611	46699906	308974	0	7663.77	0	11715.9	-27.5556109205163	-21.4571180936736
chr22	10515003	50674549	147978	155	2523.68845	317	3192.02484	4.97039346054474	7.73696915792891
chrX	10472	156030821	1360607	0	35706.6	1	54341.4	-27.5556109205163	-21.4571180936736
chrY	2781499	56887550	114792	0	2959.16	0	4514.62	-27.5556109205163	-21.4571180936736
